Date,Code libellé,Libellé,Mini,Maxi,Moyen,Unité prix,,,
2018-03-22,57219323,MANGUE vrac,0,99,1,99,1,24,la pièce
2018-03-22,57219324,ORANGE vrac,1,49,1,99,1,86,le kg
2018-03-22,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,68,le kg,,
2018-03-22,57219306,POIRE Conférence France vrac,,,2,55,le kg,,
2018-03-22,57219329,POIRE Conférence hors Fr. vrac,,,2,3,le kg,,
2018-03-22,57219332,POIRE Williams verte hors Fr. vrac,,,2,91,le kg,,
2018-03-22,57219327,POMME Bicolore France sachet 2kg,,,1,4,le kg,,
2018-03-22,57219328,POMME Braeburn France +170g vrac,,,2,4,le kg,,
2018-03-22,57219294,POMME Gala France 136/180g vrac,,,1,65,le kg,,
2018-03-22,57219226,POMME Gala France +170g vrac,,,1,98,le kg,,
2018-03-22,57219274,POMME Golden France 136/180g vrac,,,1,81,le kg,,
2018-03-22,57219227,POMME Golden France +170g vrac,1,29,2,29,1,95,le kg
2018-03-22,57219372,POMME Golden France biologique,,,3,33,le kg,,
2018-03-22,57219228,POMME Golden France sachet 2kg,1,25,1,45,1,38,le kg
2018-03-22,57219229,POMME Granny smith France +170g vrac,,,2,21,le kg,,
2018-03-29,57219316,ANANAS standard (hors Victoria),1,49,2,9,1,9,la pièce
2018-03-29,57219214,BANANE Afrique vrac,,,1,54,le kg,,
2018-03-29,57219236,BANANE Amérique vrac,,,1,53,le kg,,
2018-03-29,57219375,BANANE biologique,1,49,1,99,1,84,le kg
2018-03-29,57219238,FRAISE Gariguette France barq.250g,,,10,45,le kg,,
2018-03-29,57219333,FRAISE standard hors Fr. barq.500g,2,98,3,98,3,9,le kg
2018-03-29,57219319,KIWI France cdt 1kg,,,2,94,le kg,,
2018-03-29,57222318,KIWI France vrac,0,39,0,55,0,49,la pièce
2018-03-29,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,73,le kg,,
2018-03-29,57219323,MANGUE vrac,1,19,1,99,1,49,la pièce
2018-03-29,57219324,ORANGE vrac,,,1,85,le kg,,
2018-03-29,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,65,le kg,,
2018-03-29,57219306,POIRE Conférence France vrac,,,2,48,le kg,,
2018-03-29,57219329,POIRE Conférence hors Fr. vrac,,,2,32,le kg,,
2018-03-29,57219332,POIRE Williams verte hors Fr. vrac,,,2,85,le kg,,
2018-03-29,57219327,POMME Bicolore France sachet 2kg,,,1,35,le kg,,
2018-03-29,57219328,POMME Braeburn France +170g vrac,,,2,14,le kg,,
2018-03-29,57219226,POMME Gala France +170g vrac,,,1,88,le kg,,
2018-03-29,57219274,POMME Golden France 136/180g vrac,,,2,2,le kg,,
2018-03-29,57219227,POMME Golden France +170g vrac,1,49,2,29,1,92,le kg
2018-03-29,57219372,POMME Golden France biologique,,,3,77,le kg,,
2018-03-29,57219228,POMME Golden France sachet 2kg,1,1,45,1,32,le kg,
2018-03-29,57219229,POMME Granny smith France +170g vrac,,,2,18,le kg,,
2018-04-05,57219316,ANANAS standard (hors Victoria),1,39,1,89,1,71,la pièce
2018-04-05,57219214,BANANE Afrique vrac,,,1,48,le kg,,
2018-04-05,57219236,BANANE Amérique vrac,,,1,56,le kg,,
2018-04-05,57219375,BANANE biologique,1,39,1,99,1,79,le kg
2018-04-05,57219238,FRAISE Gariguette France barq.250g,,,10,11,le kg,,
2018-04-05,57219373,FRAISE standard France barq.500g,,,9,98,le kg,,
2018-04-05,57219333,FRAISE standard hors Fr. barq.500g,,,4,le kg,,,
2018-04-05,57219319,KIWI France cdt 1kg,,,2,94,le kg,,
2018-04-05,57222318,KIWI France vrac,0,39,0,55,0,49,la pièce
2018-04-05,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,21,le kg,,
2018-04-05,57219323,MANGUE vrac,0,99,1,98,1,43,la pièce
2018-04-05,57219324,ORANGE vrac,,,1,74,le kg,,
2018-04-05,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,27,le kg,,
2018-04-05,57219329,POIRE Conférence hors Fr. vrac,,,2,4,le kg,,
2018-04-05,57219332,POIRE Williams verte hors Fr. vrac,,,2,43,le kg,,
2018-04-05,57219327,POMME Bicolore France sachet 2kg,,,1,38,le kg,,
2018-04-05,57219226,POMME Gala France +170g vrac,,,2,13,le kg,,
2018-04-05,57219274,POMME Golden France 136/180g vrac,,,2,16,le kg,,
2018-04-05,57219227,POMME Golden France +170g vrac,,,2,14,le kg,,
2018-04-05,57219372,POMME Golden France biologique,,,3,63,le kg,,
2018-04-05,57219228,POMME Golden France sachet 2kg,,,1,4,le kg,,
2018-04-05,57219229,POMME Granny smith France +170g vrac,,,2,26,le kg,,
2018-04-12,57219316,ANANAS standard (hors Victoria),1,49,2,15,1,75,la pièce
2018-04-12,57219214,BANANE Afrique vrac,,,1,49,le kg,,
2018-04-12,57219236,BANANE Amérique vrac,,,1,54,le kg,,
2018-04-12,57219375,BANANE biologique,1,35,1,99,1,78,le kg
2018-04-12,57219238,FRAISE Gariguette France barq.250g,7,96,13,96,10,27,le kg
2018-04-12,57219373,FRAISE standard France barq.500g,,,9,12,le kg,,
2018-04-12,57219333,FRAISE standard hors Fr. barq.500g,2,7,5,98,3,55,le kg
2018-04-12,57219319,KIWI France cdt 1kg,,,2,95,le kg,,
2018-04-12,57222318,KIWI France vrac,0,44,0,55,0,49,la pièce
2018-04-12,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,75,le kg,,
2018-04-12,57219323,MANGUE vrac,1,39,1,99,1,64,la pièce
2018-04-12,57219324,ORANGE vrac,,,1,95,le kg,,
2018-04-12,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,56,le kg,,
2018-04-12,57219306,POIRE Conférence France vrac,,,2,59,le kg,,
2018-04-12,57219329,POIRE Conférence hors Fr. vrac,,,2,3,le kg,,
2018-04-12,57219326,POIRE Rochas hors Fr. vrac,,,1,99,le kg,,
2018-04-12,57219332,POIRE Williams verte hors Fr. vrac,,,2,8,le kg,,
2018-04-12,57219327,POMME Bicolore France sachet 2kg,,,1,41,le kg,,
2018-04-12,57219226,POMME Gala France +170g vrac,,,2,1,le kg,,
2018-04-12,57219274,POMME Golden France 136/180g vrac,,,2,17,le kg,,
2018-04-12,57219227,POMME Golden France +170g vrac,1,79,2,49,2,15,le kg
2018-04-12,57219372,POMME Golden France biologique,,,3,51,le kg,,
2018-04-12,57219228,POMME Golden France sachet 2kg,1,4,1,5,1,43,le kg
2018-04-12,57219229,POMME Granny smith France +170g vrac,,,2,24,le kg,,
2018-04-19,57219316,ANANAS standard (hors Victoria),1,79,2,1,1,92,la pièce
2018-04-19,57219214,BANANE Afrique vrac,,,1,38,le kg,,
2018-04-19,57219236,BANANE Amérique vrac,,,1,31,le kg,,
2018-04-19,57219375,BANANE biologique,1,35,1,99,1,83,le kg
2018-04-19,57219238,FRAISE Gariguette France barq.250g,9,16,13,96,10,49,le kg
2018-04-19,57219373,FRAISE standard France barq.500g,,,7,41,le kg,,
2018-04-19,57219333,FRAISE standard hors Fr. barq.500g,1,98,5,98,3,57,le kg
2018-04-19,57219319,KIWI France cdt 1kg,,,2,67,le kg,,
2018-04-19,57222318,KIWI France vrac,0,44,0,55,0,49,la pièce
2018-04-19,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,59,le kg,,
2018-04-19,57219323,MANGUE vrac,1,49,1,99,1,63,la pièce
2018-04-19,57219324,ORANGE vrac,1,79,1,99,1,96,le kg
2018-04-19,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,66,le kg,,
2018-04-19,57219306,POIRE Conférence France vrac,,,2,74,le kg,,
2018-04-19,57219329,POIRE Conférence hors Fr. vrac,,,2,24,le kg,,
2018-04-19,57219332,POIRE Williams verte hors Fr. vrac,,,2,93,le kg,,
2018-04-19,57219327,POMME Bicolore France sachet 2kg,,,1,47,le kg,,
2018-04-19,57219328,POMME Braeburn France +170g vrac,,,2,25,le kg,,
2018-04-19,57219226,POMME Gala France +170g vrac,,,2,18,le kg,,
2018-04-19,57219274,POMME Golden France 136/180g vrac,,,2,2,le kg,,
2018-04-19,57219227,POMME Golden France +170g vrac,1,99,2,39,2,21,le kg
2018-04-19,57219372,POMME Golden France biologique,,,3,47,le kg,,
2018-04-19,57219228,POMME Golden France sachet 2kg,,,1,44,le kg,,
2018-04-19,57219229,POMME Granny smith France +170g vrac,,,2,27,le kg,,
2018-04-26,57219316,ANANAS standard (hors Victoria),1,69,1,99,1,81,la pièce
2018-04-26,57219214,BANANE Afrique vrac,,,1,49,le kg,,
2018-04-26,57219236,BANANE Amérique vrac,,,1,53,le kg,,
2018-04-26,57219375,BANANE biologique,1,59,1,99,1,88,le kg
2018-04-26,57219238,FRAISE Gariguette France barq.250g,9,96,11,96,10,77,le kg
2018-04-26,57219373,FRAISE standard France barq.500g,,,7,64,le kg,,
2018-04-26,57219333,FRAISE standard hors Fr. barq.500g,1,98,3,18,2,72,le kg
2018-04-26,57219319,KIWI France cdt 1kg,,,2,78,le kg,,
2018-04-26,57222318,KIWI France vrac,0,35,0,55,0,47,la pièce
2018-04-26,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,24,le kg,,
2018-04-26,57219323,MANGUE vrac,0,99,1,99,1,56,la pièce
2018-04-26,57219324,ORANGE vrac,1,79,1,99,1,88,le kg
2018-04-26,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,8,le kg,,
2018-04-26,57219306,POIRE Conférence France vrac,,,2,62,le kg,,
2018-04-26,57219329,POIRE Conférence hors Fr. vrac,,,2,3,le kg,,
2018-04-26,57219332,POIRE Williams verte hors Fr. vrac,,,2,97,le kg,,
2018-04-26,57219327,POMME Bicolore France sachet 2kg,,,1,51,le kg,,
2018-04-26,57219328,POMME Braeburn France +170g vrac,,,2,33,le kg,,
2018-04-26,57219226,POMME Gala France +170g vrac,,,2,26,le kg,,
2018-04-26,57219274,POMME Golden France 136/180g vrac,,,2,2,le kg,,
2018-04-26,57219227,POMME Golden France +170g vrac,1,99,2,49,2,28,le kg
2018-04-26,57219372,POMME Golden France biologique,,,3,54,le kg,,
2018-04-26,57219228,POMME Golden France sachet 2kg,,,1,48,le kg,,
2018-04-26,57219229,POMME Granny smith France +170g vrac,,,2,38,le kg,,
2018-05-03,57219316,ANANAS standard (hors Victoria),1,79,1,99,1,89,la pièce
2018-05-03,57219214,BANANE Afrique vrac,,,1,57,le kg,,
2018-05-03,57219236,BANANE Amérique vrac,,,1,41,le kg,,
2018-05-03,57219375,BANANE biologique,1,59,1,99,1,95,le kg
2018-05-03,57219238,FRAISE Gariguette France barq.250g,,,9,74,le kg,,
2018-05-03,57219373,FRAISE standard France barq.500g,,,5,6,le kg,,
2018-05-03,57219333,FRAISE standard hors Fr. barq.500g,,,3,9,le kg,,
2018-05-03,57219319,KIWI France cdt 1kg,,,2,96,le kg,,
2018-05-03,57222318,KIWI France vrac,0,39,0,55,0,48,la pièce
2018-05-03,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,65,le kg,,
2018-05-03,57219323,MANGUE vrac,0,89,1,99,1,51,la pièce
2018-05-03,57219324,ORANGE vrac,,,1,93,le kg,,
2018-05-03,57219306,POIRE Conférence France vrac,,,2,62,le kg,,
2018-05-03,57219329,POIRE Conférence hors Fr. vrac,,,2,53,le kg,,
2018-05-03,57219332,POIRE Williams verte hors Fr. vrac,,,2,97,le kg,,
2018-05-03,57219327,POMME Bicolore France sachet 2kg,,,1,54,le kg,,
2018-05-03,57219328,POMME Braeburn France +170g vrac,,,2,34,le kg,,
2018-05-03,57219226,POMME Gala France +170g vrac,,,2,36,le kg,,
2018-05-03,57219274,POMME Golden France 136/180g vrac,,,2,31,le kg,,
2018-05-03,57219227,POMME Golden France +170g vrac,1,99,2,49,2,28,le kg
2018-05-03,57219372,POMME Golden France biologique,,,3,37,le kg,,
2018-05-03,57219228,POMME Golden France sachet 2kg,,,1,51,le kg,,
2018-05-03,57219229,POMME Granny smith France +170g vrac,,,2,41,le kg,,
2018-05-10,57219316,ANANAS standard (hors Victoria),1,79,1,99,1,91,la pièce
2018-05-10,57219214,BANANE Afrique vrac,,,1,29,le kg,,
2018-05-10,57219236,BANANE Amérique vrac,,,1,49,le kg,,
2018-05-10,57219375,BANANE biologique,1,99,1,99,1,95,le kg
2018-05-10,57219238,FRAISE Gariguette France barq.250g,,,10,84,le kg,,
2018-05-10,57219373,FRAISE standard France barq.500g,,,5,67,le kg,,
2018-05-10,57219333,FRAISE standard hors Fr. barq.500g,,,3,71,le kg,,
2018-05-10,57219384,FRAMBOISE hors Fr. barq.125g,,,14,32,le kg,,
2018-05-10,57219319,KIWI France cdt 1kg,,,2,99,le kg,,
2018-05-10,57222318,KIWI France vrac,,,0,49,la pièce,,
2018-05-10,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,72,le kg,,
2018-05-10,57222834,KIWI UE (hors Fr.) vrac,,,0,45,la pièce,,
2018-05-10,57219323,MANGUE vrac,0,69,1,99,1,35,la pièce
2018-05-10,57219324,ORANGE vrac,,,1,93,le kg,,
2018-05-10,57219306,POIRE Conférence France vrac,,,2,71,le kg,,
2018-05-10,57219329,POIRE Conférence hors Fr. vrac,,,2,54,le kg,,
2018-05-10,57219332,POIRE Williams verte hors Fr. vrac,,,2,81,le kg,,
2018-05-10,57219327,POMME Bicolore France sachet 2kg,,,1,48,le kg,,
2018-05-10,57219226,POMME Gala France +170g vrac,,,2,37,le kg,,
2018-05-10,57219274,POMME Golden France 136/180g vrac,,,2,21,le kg,,
2018-05-10,57219227,POMME Golden France +170g vrac,1,63,2,39,2,15,le kg
2018-05-10,57219372,POMME Golden France biologique,,,3,4,le kg,,
2018-05-10,57219228,POMME Golden France sachet 2kg,,,1,54,le kg,,
2018-05-10,57219229,POMME Granny smith France +170g vrac,,,2,52,le kg,,
2018-05-17,57219316,ANANAS standard (hors Victoria),0,99,2,2,1,76,la pièce
2018-05-17,57219214,BANANE Afrique vrac,,,1,53,le kg,,
2018-05-17,57219236,BANANE Amérique vrac,,,1,54,le kg,,
2018-05-17,57219375,BANANE biologique,1,49,1,99,1,82,le kg
2018-05-17,57219238,FRAISE Gariguette France barq.250g,7,56,11,96,10,12,le kg
2018-05-17,57219373,FRAISE standard France barq.500g,,,5,41,le kg,,
2018-05-17,57219333,FRAISE standard hors Fr. barq.500g,,,3,71,le kg,,
2018-05-17,57219384,FRAMBOISE hors Fr. barq.125g,,,14,92,le kg,,
2018-05-17,57219319,KIWI France cdt 1kg,,,2,49,le kg,,
2018-05-17,57222318,KIWI France vrac,0,44,0,55,0,49,la pièce
2018-05-17,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,58,le kg,,
2018-05-17,57222834,KIWI UE (hors Fr.) vrac,,,0,46,la pièce,,
2018-05-17,57219323,MANGUE vrac,0,69,1,99,1,28,la pièce
2018-05-17,57219324,ORANGE vrac,,,1,88,le kg,,
2018-05-17,57219306,POIRE Conférence France vrac,,,2,72,le kg,,
2018-05-17,57219329,POIRE Conférence hors Fr. vrac,,,2,52,le kg,,
2018-05-17,57219332,POIRE Williams verte hors Fr. vrac,,,2,83,le kg,,
2018-05-17,57219327,POMME Bicolore France sachet 2kg,,,1,52,le kg,,
2018-05-17,57219226,POMME Gala France +170g vrac,,,2,33,le kg,,
2018-05-17,57219274,POMME Golden France 136/180g vrac,,,2,44,le kg,,
2018-05-17,57219227,POMME Golden France +170g vrac,1,99,2,49,2,22,le kg
2018-05-17,57219228,POMME Golden France sachet 2kg,,,1,55,le kg,,
2018-05-17,57219229,POMME Granny smith France +170g vrac,,,2,56,le kg,,
2018-05-24,57219340,ABRICOT autres variétés hors Fr. 40-45mm vrac,,,3,54,le kg,,
2018-05-24,57220756,ABRICOT autres variétés hors Fr. 45-50mm vrac,,,3,39,le kg,,
2018-05-24,57219338,ABRICOT hors Fr. barq.1kg,,,2,82,le kg,,
2018-05-24,57219316,ANANAS standard (hors Victoria),1,19,2,19,1,83,la pièce
2018-05-24,57219214,BANANE Afrique vrac,,,1,51,le kg,,
2018-05-24,57219236,BANANE Amérique vrac,,,1,61,le kg,,
2018-05-24,57219375,BANANE biologique,1,49,1,99,1,85,le kg
2018-05-24,57219252,CERISE rouge France -26mm vrac,,,5,41,le kg,,
2018-05-24,57219257,CERISE rouge France barq.,,,6,98,le kg,,
2018-05-24,57219238,FRAISE Gariguette France barq.250g,,,10,38,le kg,,
2018-05-24,57219373,FRAISE standard France barq.500g,3,98,5,98,5,8,le kg
2018-05-24,57219333,FRAISE standard hors Fr. barq.500g,,,3,78,le kg,,
2018-05-24,57219384,FRAMBOISE hors Fr. barq.125g,,,14,13,le kg,,
2018-05-24,57219319,KIWI France cdt 1kg,,,2,64,le kg,,
2018-05-24,57222318,KIWI France vrac,,,0,47,la pièce,,
2018-05-24,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,73,le kg,,
2018-05-24,57222834,KIWI UE (hors Fr.) vrac,,,0,47,la pièce,,
2018-05-24,57219323,MANGUE vrac,0,89,1,99,1,45,la pièce
2018-05-24,57219324,ORANGE vrac,1,79,2,2,1,97,le kg
2018-05-24,57219306,POIRE Conférence France vrac,,,2,68,le kg,,
2018-05-24,57219329,POIRE Conférence hors Fr. vrac,,,2,47,le kg,,
2018-05-24,57219332,POIRE Williams verte hors Fr. vrac,,,2,84,le kg,,
2018-05-24,57219327,POMME Bicolore France sachet 2kg,,,1,54,le kg,,
2018-05-24,57219226,POMME Gala France +170g vrac,,,2,18,le kg,,
2018-05-24,57219227,POMME Golden France +170g vrac,1,99,2,59,2,29,le kg
2018-05-24,57219228,POMME Golden France sachet 2kg,,,1,54,le kg,,
2018-05-24,57219229,POMME Granny smith France +170g vrac,,,2,59,le kg,,
2018-05-31,57219340,ABRICOT autres variétés hors Fr. 40-45mm vrac,,,3,98,le kg,,
2018-05-31,57220756,ABRICOT autres variétés hors Fr. 45-50mm vrac,,,3,17,le kg,,
2018-05-31,57219338,ABRICOT hors Fr. barq.1kg,,,2,39,le kg,,
2018-05-31,57219316,ANANAS standard (hors Victoria),1,79,2,29,1,96,la pièce
2018-05-31,57219214,BANANE Afrique vrac,,,1,8,le kg,,
2018-05-31,57219236,BANANE Amérique vrac,,,1,31,le kg,,
2018-05-31,57219375,BANANE biologique,1,99,1,99,1,97,le kg
2018-05-31,57219215,BANANE France vrac,,,1,17,le kg,,
2018-05-31,57219252,CERISE rouge France -26mm vrac,,,6,5,le kg,,
2018-05-31,57219365,CERISE rouge France +26mm vrac,,,6,79,le kg,,
2018-05-31,57219257,CERISE rouge France barq.,,,5,28,le kg,,
2018-05-31,57219238,FRAISE Gariguette France barq.250g,7,56,11,16,8,8,le kg
2018-05-31,57219373,FRAISE standard France barq.500g,3,98,7,98,5,29,le kg
2018-05-31,57219333,FRAISE standard hors Fr. barq.500g,,,3,45,le kg,,
2018-05-31,57219384,FRAMBOISE hors Fr. barq.125g,,,11,35,le kg,,
2018-05-31,57222318,KIWI France vrac,,,0,51,la pièce,,
2018-05-31,57222319,KIWI hors UE. vrac,,,0,53,la pièce,,
2018-05-31,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,73,le kg,,
2018-05-31,57222834,KIWI UE (hors Fr.) vrac,,,0,53,la pièce,,
2018-05-31,57219323,MANGUE vrac,0,99,1,99,1,48,la pièce
2018-05-31,57222873,NECTARINE chair blanche hors Fr. A-AA vrac,,,3,51,le kg,,
2018-05-31,57219245,NECTARINE chair blanche hors Fr. B vrac,,,3,94,le kg,,
2018-05-31,57219342,NECTARINE chair jaune hors Fr. A-AA vrac,,,3,59,le kg,,
2018-05-31,57219246,NECTARINE chair jaune hors Fr. B vrac,,,3,78,le kg,,
2018-05-31,57219247,NECTARINE hors Fr. barq.1kg,1,49,2,49,2,19,le kg
2018-05-31,57219324,ORANGE vrac,,,2,1,le kg,,
2018-05-31,57219362,PÊCHE chair blanche hors Fr. A-AA vrac,,,3,4,le kg,,
2018-05-31,57219254,PÊCHE chair blanche hors Fr. B vrac,,,3,79,le kg,,
2018-05-31,57219343,PÊCHE chair jaune hors Fr. A-AA vrac,,,2,97,le kg,,
2018-05-31,57219248,PÊCHE chair jaune hors Fr. B vrac,,,3,58,le kg,,
2018-05-31,57219249,PÊCHE hors Fr. barq.1kg,,,2,39,le kg,,
2018-05-31,57219327,POMME Bicolore France sachet 2kg,,,1,5,le kg,,
2018-05-31,57219274,POMME Golden France 136/180g vrac,,,2,29,le kg,,
2018-05-31,57219227,POMME Golden France +170g vrac,1,99,2,59,2,3,le kg
2018-05-31,57219228,POMME Golden France sachet 2kg,,,1,54,le kg,,
2018-05-31,57219229,POMME Granny smith France +170g vrac,,,2,61,le kg,,
2018-06-07,57219340,ABRICOT autres variétés hors Fr. 40-45mm vrac,,,2,8,le kg,,
2018-06-07,57220756,ABRICOT autres variétés hors Fr. 45-50mm vrac,,,3,6,le kg,,
2018-06-07,57219341,ABRICOT France barq.1kg,,,2,47,le kg,,
2018-06-07,57219338,ABRICOT hors Fr. barq.1kg,,,2,5,le kg,,
2018-06-07,57219316,ANANAS standard (hors Victoria),1,79,2,29,1,91,la pièce
2018-06-07,57219214,BANANE Afrique vrac,,,1,55,le kg,,
2018-06-07,57219236,BANANE Amérique vrac,,,1,4,le kg,,
2018-06-07,57219375,BANANE biologique,1,99,1,99,2,le kg,
2018-06-07,57219252,CERISE rouge France -26mm vrac,,,5,7,le kg,,
2018-06-07,57219257,CERISE rouge France barq.,,,4,93,le kg,,
2018-06-07,57219238,FRAISE Gariguette France barq.250g,,,10,55,le kg,,
2018-06-07,57219373,FRAISE standard France barq.500g,,,5,6,le kg,,
2018-06-07,57219384,FRAMBOISE hors Fr. barq.125g,,,11,57,le kg,,
2018-06-07,57222318,KIWI France vrac,,,0,54,la pièce,,
2018-06-07,57222319,KIWI hors UE. vrac,,,0,6,la pièce,,
2018-06-07,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,88,le kg,,
2018-06-07,57222834,KIWI UE (hors Fr.) vrac,,,0,54,la pièce,,
2018-06-07,57219323,MANGUE vrac,1,29,1,99,1,53,la pièce
2018-06-07,57222873,NECTARINE chair blanche hors Fr. A-AA vrac,,,3,58,le kg,,
2018-06-07,57219245,NECTARINE chair blanche hors Fr. B vrac,,,3,79,le kg,,
2018-06-07,57219342,NECTARINE chair jaune hors Fr. A-AA vrac,,,3,72,le kg,,
2018-06-07,57219246,NECTARINE chair jaune hors Fr. B vrac,,,3,38,le kg,,
2018-06-07,57219247,NECTARINE hors Fr. barq.1kg,,,2,32,le kg,,
2018-06-07,57219324,ORANGE vrac,,,2,3,le kg,,
2018-06-07,57219362,PÊCHE chair blanche hors Fr. A-AA vrac,,,3,16,le kg,,
